AdviceType__c,AdviceType__r.DeveloperName__c,DeveloperName__c,Id,RecommendationType__c,RecommendationType__r.DeveloperName__c
a1RQz000000rrEHMAY,TOP_UP,TOP_UP_LUMP_SUM,a1TQz000001Dob7MAC,a24Qz0000052dwtIAA,LUMP_SUM
a1RQz000000rrEHMAY,TOP_UP,TOP_UP_REGULAR,a1TQz000001Dob8MAC,a24Qz0000052dwzIAA,REGULAR
a1RQz000000rrEHMAY,TOP_UP,TOP_UP_CHANGE_EXISTING_REGULAR,a1TQz000001Dob9MAC,a24Qz0000052dwxIAA,CHANGE_EXISTING_REGULAR
a1RQz000000rrEQMAY,WITHDRAWAL,WITHDRAWAL_LUMP_SUM,a1TQz000001DobAMAS,a24Qz0000052dx2IAA,LUMP_SUM_WITHDRAWAL
a1RQz000000rrEQMAY,WITHDRAWAL,WITHDRAWAL_REGULAR,a1TQz000001DobBMAS,a24Qz0000052dx3IAA,REGULAR_WITHDRAWAL
a1RQz000000rrESMAY,REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_CHANGE_REGULAR,a1TQz000001DobCMAS,a24Qz0000052dwxIAA,CHANGE_EXISTING_REGULAR
a1RQz000000rrESMAY,REGULAR_AMENDMENT,ADVICE_REGULAR_AMENDMENT_CANCEL_REGULAR,a1TQz000001DobDMAS,a24Qz0000052dwwIAA,CANCEL_EXISTING_REGULAR
a1RQz000000rrENMAY,PROTECTION,PROTECTION_CANCEL_PROTECTION_POLICY,a1TQz000001DobEMAS,a24Qz0000052dx7IAA,CANCEL_PROTECTION
a1RQz000000rrENMAY,PROTECTION,PROTECTION_OPEN_PRODUCT,a1TQz000001DobFMAS,a24Qz0000052dwvIAA,OPEN_PRODUCT
a1RQz000000rrENMAY,PROTECTION,PROTECTION_TRUST,a1TQz000001DobGMAS,a24Qz0000052dx8IAA,PROVIDER_TRUST
a1RQz000000rrEHMAY,TOP_UP,TOP_UP_CANCEL_EXISTING_REGULAR,a1TQz000001DobHMAS,a24Qz0000052dwwIAA,CANCEL_EXISTING_REGULAR
a1RQz000000rrEHMAY,TOP_UP,TOP_UP_INTERNAL_TRANSFER,a1TQz000001DobIMAS,a24Qz0000052dwuIAA,INTERNAL_TRANSFER
