Active__c,AdviceChecklistRecordTypeDeveloperName__c,AdviceMethod__c,ClientType__c,Description__c,DeveloperName__c,Id,InformationRequests__c,IsAnnualReview__c,IsOnboarding__c,Name,ProfileUpdate__c,RecordTypeDeveloperName__c,RiskToleranceQuestionnaireSent__c,SortOrder__c,Warnings__c
true,TopUp,NON_PRESENTED,Retail,"For lump sum and regular deposits to GIA, ISA, SIPP, JISA, and JSIPP only.",TOP_UP,a1RSl0000003AqrMAE,NEVER,false,false,Top up,NEVER,TopUp,NEVER,400,You must update vulnerability and cash balances after creating this advice. Total top up value cannot exceed 10% of the household's holdings with us. Click OK to proceed.
false,,ANY,Retail,Anything other than top-up advice.,OTHER,a1RSl0000003AqsMAE,,false,false,Other,,Advice_RT_General_Advice,,1000,
true,,PRESENTED,Retail,Onboarding case for standard clients growing their wealth.,ONBOARDING_ACCUMULATION,a1RSl0000003AqtMAE,REQUIRED,false,true,Onboarding | Accumulation,REQUIRED,Advice_RT_General_Advice,REQUIRED,900,
true,,PRESENTED,Retail,Onboarding case for clients approaching or in retirement.,ONBOARDING_RETIREMENT,a1RSl0000003AquMAE,REQUIRED,false,true,Onboarding | Retirement,REQUIRED,Advice_RT_General_Advice,REQUIRED,950,
true,AnnualReview,ANY,Retail,Annual review for our standard client growing their wealth.,ANNUAL_REVIEW_ACCUMULATION,a1RSl0000003AqvMAE,OPTIONAL,true,false,Annual review | Accumulation,REQUIRED,AnnualReview,OPTIONAL,100,
true,AnnualReview,ANY,Retail,Annual review for client who is in or approaching retirement.,ANNUAL_REVIEW_RETIREMENT,a1RSl0000003AqwMAE,OPTIONAL,true,false,Annual review | Retirement,REQUIRED,AnnualReview,OPTIONAL,200,
true,Protection,NON_PRESENTED,Retail,Protection advice only.,PROTECTION,a1RSl0000003AqxMAE,OPTIONAL,false,false,Protection,OPTIONAL,Protection,NEVER,500,This advice can only consist of protection recommendations as it is prepared by the mortgage team.
true,,ANY,Retail,For advice covering EIS/OITS/VCT recommendations only.,OCTOPUS_INVESTMENTS,a1RSl0000003AqyMAE,OPTIONAL,false,false,Octopus Investments,OPTIONAL,Advice_RT_General_Advice,OPTIONAL,700,
true,,ANY,Retail,Advice covering any spectrum of recommendations outside of onboarding or annual review.,AD_HOC,a1RSl0000003AqzMAE,OPTIONAL,false,false,Ad-hoc,OPTIONAL,Advice_RT_General_Advice,OPTIONAL,300,
true,Withdrawal,ANY,Retail,Lump sum or regular withdrawals from an ISA or GIA only.,WITHDRAWAL,a1RSl0000003Ar0MAE,NEVER,false,false,Withdrawal (ISA/GIA),NEVER,Withdrawal,NEVER,800,You must update vulnerability and cash balances after creating this advice. Click OK to proceed.
true,,ANY,Retail,Lump sum or regular withdrawals from a SIPP.,DRAWDOWN,a1RSl0000003Ar1MAE,OPTIONAL,false,false,Drawdown,OPTIONAL,Advice_RT_General_Advice,OPTIONAL,810,
true,,NA,Retail,"Amendments to regular contributions 
- cancelling & reducing only",REGULAR_AMENDMENT,a1RSl0000003Ar2MAE,NEVER,false,false,Regular amendment,NEVER,RegularAmendment,NEVER,600,"You can only cancel or decrease the contributions on this advice type, you cannot increase.
Please be aware of the deadlines for updating direct debits with Hubwise and manage expectations with the client."
true,,NA,Retail,For Nova Wealth partners with execution only accounts.,EXECUTION_ONLY,a1RSl0000003Ar3MAE,NEVER,false,false,Execution only,NEVER,Advice_RT_General_Advice,NEVER,975,
true,TrustOnboarding,PRESENTED,Trust,Onboarding case for trusts.,TRUST_ONBOARDING,a1RSl000000IM0TMAW,NEVER,false,false,Onboarding | Trust,REQUIRED,TrustOnboarding,NEVER,2000,
